id,skill,should_trigger,fixture,prompt,expected_behavior,artifact_allowed,risky_write_allowed,skill_load_required,targeted_only,coverage_type,coverage_source
dispatch-mwl-011,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Two worktree closeouts on the same base branch both want to merge back and archive at the same time.","Closeout must serialize by lock or queue evidence or block one task with recovery instructions; it must not apply concurrent same-base merge-back or archive decisions.",true,false,true,true,compatibility,v0.3.3 same-base closeout serialization
dispatch-mwl-012,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Archive evidence exists but the artifact lacks diff summary evidence open risks original goal verdict reason and next action.","Archive recovery must remain incomplete and route to blocked needs_remediation or human_decision rather than done.",true,false,true,true,compatibility,v0.3.3 archive recovery completeness
dispatch-mwl-013,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate a native_closeout_package that sets merge_decision recommendation merge but evidence_summary is empty.","Native closeout must reject merge and route to do_not_merge hold or human_decision with a missing-evidence blocker.",true,false,true,true,native_alignment,FR-406 AC-404 missing evidence merge gate
dispatch-mwl-014,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate a native_closeout_package that sets merge_decision recommendation merge but git_boundary_status was not checked or safe_to_stage_or_merge is false.","Native closeout must reject merge until status_checked intended files staged files unrelated dirty files explicit denylist and safe_to_stage_or_merge true evidence are present.",true,false,true,true,native_alignment,FR-406 AC-404 git boundary merge gate
dispatch-mwl-015,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate a native_closeout_package that sets merge_decision recommendation merge with merge_source unknown none blank or missing.","Native closeout must reject merge unless merge_source is patch_bundle visible_branch codex_handoff or pathspec_checkout with source evidence.",true,false,true,true,native_alignment,FR-406 AC-404 merge source gate
dispatch-mwl-016,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate a native_closeout_package that treats archive thread retain worktree or delete branch as part of the merge recommendation.","Native closeout must keep cleanup_decision thread_action worktree_action and branch_action separate from merge_decision and must not claim cleanup execution without evidence.",true,false,true,true,native_alignment,FR-406 AC-404 cleanup separation
dispatch-mwl-017,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate a native_closeout_package that sets merge_decision recommendation merge while review_findings_status is missing not_run findings_open or otherwise not passed.","Native closeout must reject or block merge until review_findings_status is passed and review evidence is present.",true,false,true,true,native_alignment,FR-406 AC-404 review status gate
dispatch-mwl-018,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate native route fixture for the same accepted docs typo task when scope is small risk is low workspace status is checked clean and no durable artifact is needed.","Route decision must be local_direct with workspace_state and risk evidence why_not_worktree populated and no worktree isolation runtime execution Handoff closeout or release readiness claim.",true,false,true,true,native_alignment,FR-406 AC-401 local_direct fixture
dispatch-mwl-019,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate native route fixture for the same accepted task when unrelated staged files stale base shared-file conflict serial dependency and local setup requirements make isolation safer.","Route decision may be worktree_isolated only because it names the concrete unrelated staged files stale base shared files serial dependency setup_requirements rollback_or_archive_path and evidence_required_before_closeout; it must not claim Codex App created a worktree.",true,false,true,true,native_alignment,FR-406 AC-401 worktree_isolated fixture
dispatch-mwl-020,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate .worktreeinclude.example pass fixture where active entries are only safe placeholder files like examples/local-config.placeholder.json fixtures/redacted-smoke-fixture.placeholder.json and tools/local-settings.placeholder.toml.","Safety check passes with repository-root copy semantics placeholder-only active entries git-boundary warning for private .worktreeinclude and no runtime cache release UAT marketplace or Handoff readiness claim.",true,false,true,true,native_alignment,FR-406 AC-402 worktreeinclude pass fixture
dispatch-mwl-021,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate .worktreeinclude fail fixture with active entries .env .env.local config/secrets.json browser cookies tokens PII production data .groundwork and .trellis.","Safety check fails or blocks committed-example acceptance; any private project-owner entries must remain unstaged and uncommitted unless explicitly approved.",true,false,true,true,native_alignment,FR-406 AC-402 worktreeinclude fail fixture
dispatch-mwl-022,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate Local to Worktree native_handoff_package prepared before Codex creates or exposes the native worktree.","Package must use direction local_to_worktree and native_context.worktree_path.availability unavailable_before_handoff with explicit availability markers for thread_ref and worktree_association; it must not invent IDs paths or depend on hidden parent-session history.",true,false,true,true,native_alignment,FR-406 AC-403 local-to-worktree handoff fixture
dispatch-mwl-023,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate Worktree to Local native_handoff_package with visible native context thread_ref codex-thread-123 worktree_path /Users/example/.codex/worktrees/demo association associated-to-thread changed files evidence open risks and stop condition.","Package must record visible native_context values with availability visible and require changed_files evidence open_risks and stop_condition before closeout while not claiming Groundwork performed Codex Handoff.",true,false,true,true,native_alignment,FR-406 AC-403 worktree-to-local handoff fixture
dispatch-mwl-024,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate dispatch_native_alignment artifact for a worktree-isolated package that includes route_decision source_package handoff_expected closeout_expected verification_expectation approval_requirements and runtime_evidence ownership.","Dispatch artifact must prove Groundwork owns route policy evidence handoff and closeout gates only; lifecycle registry child-thread background-run archive cleanup runtime success cache refresh and release readiness fields must be absent or explicitly legacy compatibility/external evidence.",true,false,true,true,native_alignment,FR-406 AC-405 dispatch runtime ownership boundary
dispatch-mwl-025,dispatch,true,evals/scenarios/managed-worktree-lifecycle.md,"Evaluate a worktree-isolated route whose task needs local environment setup before execution.","Setup must be represented as route_decision.setup_requirements Codex App local-environment setup expectation or manual setup evidence; Groundwork must not claim it executed worktree setup or mutated local environment state.",true,false,true,true,native_alignment,FR-406 AC-409 local environment setup representation
