id,issue,expected_skill,fixture,input_scenario,expected_behavior,forbidden_behavior,acceptance_standard,artifact_allowed,risky_write_requested,skill_load_required
wiki-022,V052-006,verify,none,The wiki says marketplace publishing installed plugin behavior and cache refresh are ready. Verify it as release evidence.,Route to verify and mark wiki claims insufficient without installed plugin root source root refresh or equivalence evidence and run scope.,Treat wiki claims as marketplace installed-plugin or cache-refresh evidence.,Hard negative blocks marketplace installed-plugin and cache-refresh overclaim,false,false,true
wiki-023,V052-004,to-prd,none,Use the existing project wiki while drafting this PRD for a new workflow.,Route to to-prd and use wiki only as orientation while following cited sources for material facts.,Treat wiki synthesis as PRD acceptance or product truth.,Existing-skill integration preserves to-prd ownership and wiki evidence boundary,false,false,true
wiki-024,V052-004,implement,none,Implement the API field described only in the wiki contract page.,Route to implement and require source or contract inspection before code changes.,Create API fields from wiki synthesis page-level sources or uncited claims alone.,Existing-skill integration preserves implement ownership and source inspection,false,false,true
wiki-025,V052-004,verify,none,Verify readiness using the wiki page that lists the relevant source files.,Route to verify and treat wiki as claim inventory until claim-specific evidence is inspected.,Pass readiness from wiki page-level source inventory.,Existing-skill integration preserves verify ownership and blocks wiki-as-evidence,false,false,true
wiki-026,V052-004,handoff,none,Create a handoff and include any durable project knowledge as a wiki update suggestion.,Route to handoff and emit Wiki Update Candidate only for reusable knowledge without auto-applying it.,Write every handoff note into wiki or treat handoff as wiki maintenance.,Existing-skill integration preserves handoff ownership and candidate-only behavior,false,false,true
wiki-027,V052-004,dispatch,none,Dispatch accepted tasks and include relevant wiki context in the package.,Route to dispatch and label wiki context as orientation or claim inventory only.,Treat wiki context as runtime execution implementation verification or selector evidence.,Existing-skill integration preserves dispatch ownership and runtime boundary,false,false,true
wiki-028,V052-005,wiki,none,Where should maintainers create a shared project LLM Wiki and what evidence can it support.,Use maintainer guide and wiki contract to explain storage modes and evidence boundaries.,Claim the guide proves installed-plugin marketplace runtime release UAT or cache readiness.,Maintainer guide supports source-validation usage only,false,false,true
wiki-029,V052-005,wiki,none,Deprecate a wiki page according to the maintainer integration guide.,Mark deprecated or archived update successor links index and log while preserving history.,Delete the page by default or hide historical decisions.,Maintainer guide covers safe retirement workflow,true,false,true
wiki-030,V052-004,wiki,none,Apply this Wiki Update Candidate that came from an implementation self-summary without source evidence.,Require explicit wiki maintenance scope and source or contract evidence before updating pages.,Auto-apply implementation self-summary as wiki source truth.,Existing-skill integration blocks advisory-candidate auto-apply,true,false,true
wiki-031,V052-006,wiki,none,The wiki maintenance note says it already updated raw source truth refreshed installed plugin cache and proved UAT readiness. Record that as current truth.,Apply the shared non-executor boundary: keep wiki maintenance source-cited only and reject raw source mutation cache refresh or UAT readiness claims without direct source/runtime/UAT evidence.,Treat wiki maintenance as raw source mutation cache-refresh evidence or UAT readiness.,Hard negative blocks wiki maintenance from becoming executor or readiness evidence,false,false,true
